Date,Month,Regions,Commodity,Unit,Priceflag,Pricetype,Currency,Price,Usdprice,Amount Produced,Annual Rainfall,Annual Temperature,Year,County
2006-01-01,1,Coast,Maize,KG,actual,Retail,KES,16.13,0.2235,9741.6,23.0,27.0,2006,Mombasa
2006-01-01,1,Coast,Maize,KG,actual,Retail,KES,16.13,0.2235,9741.6,23.0,27.0,2006,Kwale
2006-01-01,1,Coast,Maize,KG,actual,Retail,KES,16.13,0.2235,9741.6,23.0,27.0,2006,Kilifi
2006-01-01,1,Coast,Maize,KG,actual,Retail,KES,16.13,0.2235,9741.6,23.0,27.0,2006,Tana River
2006-01-01,1,Coast,Maize,KG,actual,Retail,KES,16.13,0.2235,9741.6,23.0,27.0,2006,Lamu
2006-01-01,1,Coast,Maize,KG,actual,Retail,KES,16.13,0.2235,9741.6,23.0,27.0,2006,Taita-Taveta
2006-01-01,1,Coast,Maize,KG,actual,Retail,KES,15.93,0.2208,9741.6,13.0,27.0,2006,Mombasa
2006-01-01,1,Coast,Maize,KG,actual,Retail,KES,15.93,0.2208,9741.6,13.0,27.0,2006,Kwale
2006-01-01,1,Coast,Maize,KG,actual,Retail,KES,15.93,0.2208,9741.6,13.0,27.0,2006,Kilifi
2006-01-01,1,Coast,Maize,KG,actual,Retail,KES,15.93,0.2208,9741.6,13.0,27.0,2006,Tana River
2006-01-01,1,Coast,Maize,KG,actual,Retail,KES,15.93,0.2208,9741.6,13.0,27.0,2006,Lamu
2006-01-01,1,Coast,Maize,KG,actual,Retail,KES,15.93,0.2208,9741.6,13.0,27.0,2006,Taita-Taveta
2006-01-01,1,Coast,Maize,KG,actual,Retail,KES,16.03,0.2221,9741.6,42.0,27.0,2006,Mombasa
2006-01-01,1,Coast,Maize,KG,actual,Retail,KES,16.03,0.2221,9741.6,42.0,27.0,2006,Kwale
2006-01-01,1,Coast,Maize,KG,actual,Retail,KES,16.03,0.2221,9741.6,42.0,27.0,2006,Kilifi
2006-01-01,1,Coast,Maize,KG,actual,Retail,KES,16.03,0.2221,9741.6,42.0,27.0,2006,Tana River
2006-01-01,1,Coast,Maize,KG,actual,Retail,KES,16.03,0.2221,9741.6,42.0,27.0,2006,Lamu
2006-01-01,1,Coast,Maize,KG,actual,Retail,KES,16.03,0.2221,9741.6,42.0,27.0,2006,Taita-Taveta
2006-01-01,1,Coast,Maize,KG,actual,Retail,KES,16.63,0.2305,16236.0,108.0,26.0,2006,Mombasa
